"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-07,"10","38.8%",46201
"tt1745960",2022-06-07,"9","29.7%",35334
"tt1745960",2022-06-07,"8","20.5%",24377
"tt1745960",2022-06-07,"7","7.3%",8720
"tt1745960",2022-06-07,"6","1.9%",2209
"tt1745960",2022-06-07,"5","0.6%",669
"tt1745960",2022-06-07,"4","0.3%",304
"tt1745960",2022-06-07,"3","0.2%",183
"tt1745960",2022-06-07,"2","0.2%",191
"tt1745960",2022-06-07,"1","0.7%",802
"tt4513678",2022-06-07,"10","14.6%",22448
"tt4513678",2022-06-07,"9","11.7%",17916
"tt4513678",2022-06-07,"8","24.4%",37438
"tt4513678",2022-06-07,"7","25.4%",38982
"tt4513678",2022-06-07,"6","13.4%",20507
"tt4513678",2022-06-07,"5","5.2%",7958
"tt4513678",2022-06-07,"4","2.2%",3369
"tt4513678",2022-06-07,"3","1.1%",1713
"tt4513678",2022-06-07,"2","0.7%",1105
"tt4513678",2022-06-07,"1","1.2%",1869
"tt7286456",2022-06-07,"10","30.1%",361344
"tt7286456",2022-06-07,"9","26.8%",321837
"tt7286456",2022-06-07,"8","22.4%",268824
"tt7286456",2022-06-07,"7","11.1%",133653
"tt7286456",2022-06-07,"6","4.4%",52631
"tt7286456",2022-06-07,"5","1.8%",22136
"tt7286456",2022-06-07,"4","0.9%",10675
"tt7286456",2022-06-07,"3","0.6%",6804
"tt7286456",2022-06-07,"2","0.5%",5600
"tt7286456",2022-06-07,"1","1.3%",16009
"tt1289401",2022-06-07,"10","9.9%",22559
"tt1289401",2022-06-07,"9","3.4%",7760
"tt1289401",2022-06-07,"8","7.7%",17481
"tt1289401",2022-06-07,"7","13.1%",29846
"tt1289401",2022-06-07,"6","16.1%",36618
"tt1289401",2022-06-07,"5","13.1%",29768
"tt1289401",2022-06-07,"4","8.1%",18430
"tt1289401",2022-06-07,"3","5.7%",13058
"tt1289401",2022-06-07,"2","5.1%",11566
"tt1289401",2022-06-07,"1","17.7%",40314
"tt3079380",2022-06-07,"10","8.6%",20964
"tt3079380",2022-06-07,"9","9.0%",21816
"tt3079380",2022-06-07,"8","23.1%",55960
"tt3079380",2022-06-07,"7","31.1%",75415
"tt3079380",2022-06-07,"6","16.0%",38740
