"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-11,"10","38.2%",52108
"tt1745960",2022-06-11,"9","29.8%",40733
"tt1745960",2022-06-11,"8","20.7%",28336
"tt1745960",2022-06-11,"7","7.5%",10270
"tt1745960",2022-06-11,"6","1.9%",2623
"tt1745960",2022-06-11,"5","0.6%",797
"tt1745960",2022-06-11,"4","0.3%",351
"tt1745960",2022-06-11,"3","0.2%",222
"tt1745960",2022-06-11,"2","0.2%",220
"tt1745960",2022-06-11,"1","0.7%",923
"tt4513678",2022-06-11,"10","14.6%",22531
"tt4513678",2022-06-11,"9","11.7%",17984
"tt4513678",2022-06-11,"8","24.4%",37647
"tt4513678",2022-06-11,"7","25.4%",39233
"tt4513678",2022-06-11,"6","13.4%",20658
"tt4513678",2022-06-11,"5","5.2%",8006
"tt4513678",2022-06-11,"4","2.2%",3401
"tt4513678",2022-06-11,"3","1.1%",1721
"tt4513678",2022-06-11,"2","0.7%",1107
"tt4513678",2022-06-11,"1","1.2%",1879
"tt7286456",2022-06-11,"10","30.1%",361584
"tt7286456",2022-06-11,"9","26.8%",322185
"tt7286456",2022-06-11,"8","22.4%",269122
"tt7286456",2022-06-11,"7","11.1%",133842
"tt7286456",2022-06-11,"6","4.4%",52706
"tt7286456",2022-06-11,"5","1.8%",22166
"tt7286456",2022-06-11,"4","0.9%",10690
"tt7286456",2022-06-11,"3","0.6%",6810
"tt7286456",2022-06-11,"2","0.5%",5603
"tt7286456",2022-06-11,"1","1.3%",16029
"tt1289401",2022-06-11,"10","9.9%",22565
"tt1289401",2022-06-11,"9","3.4%",7763
"tt1289401",2022-06-11,"8","7.7%",17491
"tt1289401",2022-06-11,"7","13.1%",29860
"tt1289401",2022-06-11,"6","16.1%",36634
"tt1289401",2022-06-11,"5","13.1%",29779
"tt1289401",2022-06-11,"4","8.1%",18435
"tt1289401",2022-06-11,"3","5.7%",13062
"tt1289401",2022-06-11,"2","5.1%",11571
"tt1289401",2022-06-11,"1","17.7%",40330
"tt3079380",2022-06-11,"10","8.6%",20979
"tt3079380",2022-06-11,"9","9.0%",21820
"tt3079380",2022-06-11,"8","23.1%",55962
"tt3079380",2022-06-11,"7","31.1%",75437
"tt3079380",2022-06-11,"6","16.0%",38747
"tt3079380",2022-06-11,"5","6.1%",14787
"tt3079380",2022-06-11,"4","2.4%",5768
"tt3079380",2022-06-11,"3","1.3%",3089
"tt3079380",2022-06-11,"2","0.8%",1905
"tt3079380",2022-06-11,"1","1.7%",4204
"tt19885626",2022-06-11,"10","20.0%",2628
"tt19885626",2022-06-11,"9","14.8%",1942
"tt19885626",2022-06-11,"8","27.8%",3658
"tt19885626",2022-06-11,"7","21.0%",2760
"tt19885626",2022-06-11,"6","8.3%",1090
"tt19885626",2022-06-11,"5","3.0%",395
"tt19885626",2022-06-11,"4","1.4%",181
"tt19885626",2022-06-11,"3","0.7%",93
"tt19885626",2022-06-11,"2","0.7%",98
"tt19885626",2022-06-11,"1","2.3%",304
"tt9419884",2022-06-11,"10","15.0%",30020
"tt9419884",2022-06-11,"9","11.6%",23174
"tt9419884",2022-06-11,"8","24.8%",49546
"tt9419884",2022-06-11,"7","24.1%",48326
"tt9419884",2022-06-11,"6","12.1%",24147
"tt9419884",2022-06-11,"5","5.0%",9925
"tt9419884",2022-06-11,"4","2.2%",4497
"tt9419884",2022-06-11,"3","1.3%",2585
"tt9419884",2022-06-11,"2","0.9%",1802
